SMILES,logP
C(CC(=O)O)CN,-3.2
C1=CC(=O)OC1=CC(=O)O,0.0
CC(CO)(C(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=CC(=NC2=O)N)O)O)O)O,-5.7
C(C(=O)CC(=O)O)C(=O)C=CC(=O)O,-0.7
C(CC(=O)N)CN=C(N)N,-2.1
CC(CC(=O)C(=O)O)O,-0.6
C1=CC(=CC=C1CO)O,0.2
C1=CC(=CC=C1C=O)O,1.4
C1=CC(=CC=C1CC(=O)O)O,0.8
C1=NC(C(=O)N1)CCC(=O)O,-0.9
CC(C)CCC=O,1.3
C(C(=O)C(=O)O)C(CC(=O)O)(C(=O)O)O,-1.8
CC(C)(COP(=O)(O)O)C(C(=O)NCCC(=O)O)O,-2.2
CC(C)(COP(=O)(O)O)C(C(=O)NCCC(=O)NC(CS)C(=O)O)O,-2.5
C[N+](C)(C)CCCC=O,0.1
C[N+](C)(C)CCCC(=O)O,0.1
C1=CC(=CC=C1C(=O)O)O,1.6
C1C2CN(C=[N+]2C3=C(N1)NC(=NC3=O)N)C4=CC=C(C=C4)C(=O)NC(CCC(=O)O)C(=O)O,-1.7
C(CC(=O)O)C(=O)CN,-3.8
C(CCN)CC(=O)O,-2.6
CC(C)CCCC(C)C1CCC2C1(C(CC3C2C(CC4C3(CCC(C4)O)C)O)O)C,6.7
CC(CCCC(C)C1CCC2C1(C(CC3C2C(CC4C3(CCC(C4)O)C)O)O)C)CO,5.3
C1C(=O)C(C(C(O1)OP(=O)(O)OP(=O)(O)OCC2C(C(C(O2)N3C=CC(=O)NC3=O)O)O)O)O,-6.1
CC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O,-0.6
C1C(N(C2=C(N1)NC(=NC2=O)N)C=O)CNC3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O,-1.2
C1=CC2=C(C=C1O)C(=CN2)CC(C(=O)O)N,-1.2
C(C(C(C(=O)O)O)O)C(=O)C(=O)O,-2.1
CN1C(CNC2=C1C(=O)N=C(N2)N)CNC3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O,-0.5
CNCC1=CN(C(=NC1=O)S)C2C(C(C(O2)CO)O)O,-1.3
CSCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O,-0.3
C(C1C(C(C(O1)N)O)O)OP(=O)(O)O,-6.2
C(C1C(C(C(O1)NC(=O)CNC=O)O)O)OP(=O)(O)O,-4.3
C(C1C(C(C(O1)NC(=O)CN)O)O)OP(=O)(O)O,-6.8
C1=C(N(C=N1)C2C(C(C(O2)COP(=O)(O)O)O)O)N,-3.6
C(C1C(C(C(O1)N=C(CNC=O)N)O)O)OP(=O)(O)O,-4.6
C1=NC(=C(N1)C(=O)O)NC(=O)N,-0.6
C1CNC2=NC=NC=C2N1,0.3
C(C(=O)C(C(C(C(=O)O)O)O)O)O,-3.0
CCCCCC(C=CC1C(CC(=O)C1CC=CCCCC(=O)O)O)O,2.8
CCCCCC(C=CC1C(CC2C1CC(=CCCCC(=O)O)O2)O)O,2.9
CCCCCC(C=CC1C(CC(C1CC=CCCCC(=O)O)O)O)O,2.7
C1C(=NC2C(N1)N=C(NC2=O)N)C(C(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O,-9.6
CC1(C(N2C(S1)C(C2=O)N)C(=O)O)C,-2.1
CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCSC(=O)CCCCCC(=O)O)O,-5.0
C(CC(=O)C=[N+]=[N-])C(C(=O)O)N,-3.5
C(CC(=C[N+]#N)O)C(C(=O)O)N,-2.2
CC(=O)C(=O)C1CNC2C(N1)C(=O)NC(=N2)N,-3.0
C1CN=C2C(=N1)C=NC=N2,-0.9
C(C1C(C(C(C(O1)O)O)O)OC2C(C(C(C(O2)COP(=O)(O)O)O)O)O)O,-6.4
CCCCCC=CCC(C=CC=CC=CC(CCCC(=O)O)O)O,4.1
C1C(=NC2=C(N1)NC(=NC2=O)N)CNC3=CC=C(C=C3)C(=O)O,-0.1
C1=C(C2=C(N1)NC(=NC2=O)N)CN,-1.9
CC(C)CCCC(C)C1CCC2C1(CCC3C2=CC=C4C3(CCC(C4)O)C)C,8.0
CC(C(=O)CCCCCC(=O)O)N,-2.2
C(CO)O,-1.4
CC(=O)[O-],0.4
CC(=O)O,-0.2
CC=O,-0.3
CC(=O)N,-0.9
CC(C(=O)C)O,-0.3
CC(=O)C,-0.1
CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O,-5.6
CC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCOP(=O)(O)OP(=O)(O)OC1C(C(C(C(O1)CO)O)O)NC(=O)C)C)C)C)C)C)C)C)C)C)C)C,15.8
CC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCOP(=O)(O)OP(=O)(O)OC1C(C(C(C(O1)CO)OC2C(C(C(C(O2)CO)O)O)NC(=O)C)O)NC(=O)C)C)C)C)C)C)C)C)C)C)C)C,13.7
CC(=O)NC1C(C(C(OC1NC(=O)CC(C(=O)O)N)CO)O)O,-5.7
CC(=O)NC(CCC(=O)O)C(=O)O,-1.8
CC(=O)OP(=O)(O)O,-1.5
CC(=O)OCC[N+](C)(C)C,0.2
CC(=O)OC1C(C(C(C(O1)CO)OC2C(C(C(C(O2)CO)O)O)O)O)O,-4.2
CC(=O)OCC(C(=O)O)N,-3.5
C1=NC2=NC=NC(=C2N1)N,-0.1
C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CO)O)O)N,-1.1
C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OCC4C(C(C(O4)O)O)O)O)O)N,-6.1
C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CSCCC(C(=O)O)N)O)O)N,-3.5
C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)OP(=O)(O)OCC4C(C(C(O4)N5C=NC6=C(N=CN=C65)N)O)O)O)O)N,-8.3
C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)O)O)O)NC(CC(=O)O)C(=O)O,-3.2
C(CCC(=O)O)CC(=O)O,0.1
C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)O)O)O)N,-4.6
C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OC4C(C(C(C(O4)CO)O)O)O)O)O)N,-6.2
C(CCN=C(N)N)CN,-1.5
C1=NC(=C(N1C2C(C(C(O2)COP(=O)(O)O)O)O)N)C(=O)N,-3.8
CC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCOP(=O)(O)OP(=O)(O)O)C)C)C)C)C)C)C,10.0
CC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCOP(=O)(O)OP(=O)(O)O)C)C)C)C)C)C,8.1
C(C(=O)O)(NC(=O)N)NC(=O)N,-2.6
C1(C(=O)NC(=O)N1)NC(=O)N,-2.2
CC(C(C(=O)O)N)O,-2.9
C(C1C(C(C(C(O1)O)O)O)O)O,-2.6
C(CC=O)CC(C(=O)O)N,-3.2
C(C1C(C(C(C(O1)O)O)O)O)OP(=O)(O)O,-4.2
CC(=O)NC1C(CC(OC1C(C(CO)O)O)(C(=O)O)OC2C(C(OC(C2O)OC3C(OC(C(C3O)NC(=O)C)OC4C(OC(C(C4O)NC(=O)C)NC(=O)CC(C(=O)N)NC(=O)C)CO)CO)CO)O)O,-11.1
CC(=O)NC1C(CC(OC1C(C(CO)O)O)(C(=O)O)OCC2C(C(C(C(O2)OC3C(OC(C(C3O)NC(=O)C)O)CO)O)O)O)O,-7.8
CC1=CC2=C(C=C1C)N(C=N2)C3C(C(C(O3)CO)O)O,0.6
CC1=CC2=C(C=C1C)N(C=N2)C3C(C(C(O3)COP(=O)(O)O)O)O,-1.1
CCCCCC(C=CC1C(C2CC(O2)O1)CC=CCCCC(=O)O)O,3.4
CCCCCC(C=CC1C(CC(=O)C1CCCCCCC(=O)O)O)O,3.2
CC(=O)CN,-1.0
CC1=NC=C(C(=N1)N)COP(=O)(O)O,-1.7
CC1=NC=C(C(=N1)N)COP(=O)(O)OP(=O)(O)O,-2.8
C1C(=NC2=C(N1)NC(=NC2=O)N)CO,-2.0
CC(=O)C(C(=O)O)N,-3.4
CCOP(=S)(OCC)OC1=CC=C(C=C1)N,2.6
C(C(C(C(CO)O)O)O)NC1=C(C(=O)NC(=O)N1)N,-3.2
N,-0.7
[NH4+],-0.7
C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)O)O)O)N,-3.5
CC12CCC(CC1CCC3C2CCC4(C3CCC4=O)C)O,3.7
C(N)(O)P,-1.5
C1=CC=C(C(=C1)C(=O)O)N,1.2
C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OS(=O)(=O)O)O)O)N,-3.9
C1C(C(C(C(O1)O)O)O)O,-2.5
C(C(C(C(C=O)O)O)O)OP(=O)(O)O,-3.4
CCCCCC=CCC=CCC=CCC=CCCCC(=O)O,6.3
C(CC(C(=O)O)N)CN=C(N)N,-4.2
C(C(C1C(=O)C(=C(O1)O)O)O)O,-1.8
C(C(C(=O)O)N)C(=O)N,-3.4
CCN(CC)CCCC(C)NC1=C2C=C(C=CC2=NC3=C1C=CC(=C3)Cl)OC,6.0
C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N,-5.7
C(CN)C(=O)O,-3.0
C1=CC=C(C=C1)C=O,1.5
C1=CC=CC=C1,2.1
C1=CC=C(C=C1)C(=O)[O-],2.5
C1=CC=C(C=C1)C(=O)O,1.9
C1=CC=C(C=C1)CO,1.1
CC(=O)NC1C(C(C(OC1O)CO)OC2C(C(C(C(O2)CO)O)O)O)O,-4.7
CC12CCC(CC1CCC3C2CCC4(C3CCC4=O)C)OS(=O)(=O)O,3.3
C[N+](C)(C)CC(=O)[O-],0.5
C[N+](C)(C)CC(=O)O,-0.1
C[N+](C)(C)CC=O,-0.2
CC1=C(NC(=C1CCC(=O)O)CC2=C(C(=C(N2)C=C3C(=C(C(=O)N3)C)C=C)C)CCC(=O)O)C=C4C(=C(C(=O)N4)C=C)C,2.9
CC1=C(C(=CC2=C(C(=C(N2)C=C3C(=C(C(=O)N3)C)C=C)C)CCC(=O)O)NC1=CC4=NC(=O)C(=C4C)C=C)CCC(=O)O,2.5
CC(C(C1=NC2=C(NC1)NC(=NC2=O)N)O)O,-2.2
C1C2C(C(S1)CCCCC(=O)O)NC(=O)N2,0.3
C1=CC=C(C=C1)C2=C(C(=CC=C2)O)O,2.7
C1=CC(=CC=C1[N+](=O)[O-])OP(=O)(O)OC2=CC=C(C=C2)[N+](=O)[O-],1.0
CCCCCCCCCCCC(CC(=O)NC1C(C(C(OC1OCC2C(C(C(C(O2)OP(=O)(O)O)NC(=O)CC(CCCCCCCCCCC)O)OC(=O)CC(CCCCCCCCCCC)O)O)CO)O)OC(=O)CC(CCCCCCCCCCC)O)O,16.0
CCCCCCCCCCCC(CC(=O)NC1C(C(C(OC1OP(=O)(O)O)CO)O)OC(=O)CC(CCCCCCCCCCC)O)O,7.2
CN(CCC(CC(=O)NC1C=CC(OC1C(=O)O)N2C=CC(=NC2=O)N)N)C(=N)N,-5.2
[Br-],1.0
Br,1.0
CCCC=O,0.9
CC(C(C)O)O,-0.9
CCCCO,0.9
CCCC(=O)O,0.8
CCCC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O,-4.8
CCCC(=O)OP(=O)(O)O,-0.7
CC(C(=O)NC(CCC(=O)NC(CCCC(C(=O)O)N)C(=O)NC(C)C(=O)NC(C)C(=O)O)C(=O)O)NC(=O)C(C)OC1C(C(OC(C1O)CO)OP(=O)(O)OP(=O)(O)OCC2C(C(C(O2)N3C=CC(=O)NC3=O)O)O)NC(=O)C,-10.8
CC(C(=O)NC(CCC(=O)O)C(=O)NC(CCCCN)C(=O)NC(C)C(=O)NC(C)C(=O)O)NC(=O)C(C)OC1C(C(OC(C1O)CO)OP(=O)(O)OP(=O)(O)OCC2C(C(C(O2)N3C=CC(=O)NC3=O)O)O)NC(=O)C,-10.4
