SMILES,logP
C1=CC=C2C(=C1)C=CC=C2O,2.8
C1=CC=C2C(=C1)C(=O)N=NN2,0.8
CC(=O)OC(C1=CC=CC=C1)C(Cl)(Cl)Cl,3.5
COC1=CC(=O)C2=C(C(=C(OC2=C1)C3=CC(=C(C=C3)O)O)O)O,1.3
C1=C2C=C(C=C(C2=C(C=C1S(=O)(=O)O)N)O)S(=O)(=O)O,0.2
CCC(C1=CC=CC=C1)C(=O)N,1.7
CCC(C1=CC=CC=C1)C(=O)O,2.3
C1=CC=C(C=C1)NC2=CC=CC3=CC=CC=C32,4.4
C1CCN2C[C@H]3C[C@@H]([C@H]2C1)CN4[C@H]3CCCC4,2.5
C1=CC=C(C=C1)C2=CC=CC=C2N,2.8
C1CCC(CC1)C2CCCCC2=O,3.7
C1=CC=C(C=C1)C2=CC=CC=C2O,3.1
C1C2=CC=CC=C2C(=O)C3=CC=CC=C31,3.7
C1=CC=C2C(=C1)C(=C3C=CC=CC3=N2)N,2.8
C1=CC=C2C(=C1)C(=O)C3=CC=CC=C3O2,3.4
COC1=CC(=CC(=C1OC)OC)C=CC(=O)O,1.4
C1=CC(=CC2=C(C=C(C=C21)S(=O)(=O)O)O)N,-0.9
COC1=CC(=C2C(=C1)C=CC=N2)N,1.4
C1=C(C=C(C(=C1C=O)O)Br)Br,3.0
CC(=C)C(=O)C(=CC(=O)O)OC,0.9
CN(C)CC1=CC(=C(C(=C1)CN(C)C)O)CN(C)C,1.1
C([C@@H]1[C@H]([C@@H]([C@H](C(=O)O1)O)O)O)O,-2.0
C[C@@H]([C@H](C1=CC=CC=C1)O)NC,0.9
CCN(CC)C(C)C(=O)C1=CC=CC=C1,2.8
C1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)Br,4.1
CN(C)C1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)N(C)C,3.9
COC1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)OC,3.6
C1=CC(=CC=C1C(C2=CC=C(C=C2)Cl)O)Cl,4.1
C1=CC(=CC=C1C(=O)C2=CC=C(C=C2)Cl)Cl,4.9
C1=CC=C(C=C1)C(C2=CC=CC=C2)Cl,3.9
C1=CC=C(C=C1)C(C2=CC=CC=C2)N,2.4
C1=CC=C(C=C1)C(C2=CC=CC=C2)O,2.7
C1=CC=C(C=C1)C(=O)C2=CC=CC=N2,1.9
CC1=CC(=C(C(=C1)CO)O)CO,0.7
CC1=C(C=CC=C1N=C=O)N=C=O,3.9
COC1=C(C(=CC=C1)OC)O,1.1
C1=CC=C(C(=C1)C#N)C#N,1.0
COC1=CC=CC=C1OC,1.6
C1CCC2CCCCC2C1,4.6
C1=CC=C2C(=C1)N=CC=N2,1.3
C1CNCC2=CC=CC=C21,1.6
C1=CC=C2C(=C1)C=CC=N2,2.0
COC1=CC=CC=C1[N+](=O)[O-],1.7
C1=CC=C(C(=C1)C=O)S(=O)(=O)O,0.1
CCN(CC)C1=CC2=C(C=C1)C(=CC(=O)O2)C,3.1
CCCCN(C1=CC=CC=C1)C(=O)C,2.5
COC1=CC(=C(C=C1)C(=O)O)OC,1.6
CC1=C(NC2=CC=CC=C12)C,2.8
C1=CC=C2C(=C1)C(=O)C(=O)N2,0.8
CC1=CC2=CC=CC=C2C=C1,3.9
C1=CC=C2C=C(C=CC2=C1)Cl,4.1
C1=CC=C2C=C(C=CC2=C1)N,2.3
C1=CC=C2C=C(C=CC2=C1)S,3.7
CC1=CC2=C(C=C1)N=CC=C2,2.6
CC1=NC2=CC=CC=C2C=C1,2.6
CCN(CC)C1=CC=CC=C1,3.3
CCN(CC)C1=CC(=CC=C1)O,2.3
C1=CC=C(C=C1)C2=NC(=NC(=N2)N)N,1.4
C1N(CN(CN1C2=CC=CC=C2)C3=CC=CC=C3)C4=CC=CC=C4,5.7
CN(C)CCN(CC1=CSC=C1)C2=CC=CC=N2,3.0
CCN(CCO)C1=CC=CC(=C1)C,2.5
COC1=C(C=CC(=C1)C2=CC(=C(C=C2)NC(=O)C3=CC4=CC=CC=C4C=C3O)OC)NC(=O)C5=CC6=CC=CC=C6C=C5O,8.1
COC1=C(C=CC(=C1)C2=CC(=C(C=C2)N=C=O)OC)N=C=O,5.1
C1=CC(=C(C=C1C2=CC(=C(C=C2)N)Cl)Cl)N,3.5
C1=CC(=C(C=C1C2=CC(=C(C=C2)N)N)N)N,0.9
CC1=C(C=CC(=C1)C2=CC(=C(C=C2)N=C=O)C)N=C=O,5.9
CC1=CC(=CC=C1)N(CCO)CCO,1.4
C1=CC=C(C=C1)C2=CC(=C(C=C2)O)Cl,4.3
C1=CC=C(C=C1)C2=CC(=C(C=C2)O)O,2.6
C1=CC=C(C=C1)C2=CC(=CC=C2)C3=CC=CC=C3,5.6
CN(C)CCOC1=CC=CC=C1CC2=CC=CC=C2,3.9
CC(=O)CC(=O)NC1=CC=CC=C1OC,1.5
COC1=CC=CC=C1NC(=O)CC(=O)C2=CC=CC=C2,3.1
C1=CC=C2C=C3C=C4C=CC=CC4=CC3=CC2=C1,5.9
CC1=CC2=CC3=C(C=C(C(=C3)C)N)N=C2C=C1N,2.9
C1=CC=C2C(=C1)NC3=C(S2)C=CC(=C3)C(F)(F)F,5.0
CC1=CC2=C(C=C1N)SC3=CC(=[N+](C)C)C=CC3=N2,1.8
CN(C)C1=CC2=C(C=C1)C=C3C=CC(=[N+](C)C)C=C3O2,2.3
CC1=CC2=C(C=C1)N=C(S2)C3=CC=C(C=C3)N,3.9
C1=CC=C2C(=C1)NC3=C(S2)C=CC(=C3)Cl,4.8
C1=CC(=CC2=C1C=CC(=C2)S(=O)(=O)O)O,0.3
C1CN(NC1=O)C2=CC=CC=C2,0.9
C1=CC=C2C=C(C(=CC2=C1)O)O,2.5
CC1=CC2=C(C=C1)OC(=O)C=C2,1.8
CCN(CCCl)C1=CC=CC=C1,3.4
C1CCC(CC1)C2CCCCC2,5.7
C1=CC=C(C=C1)C2=CC=CC=C2,4.0
C1CN(CCN1)C2=CC=CC=C2,1.1
CC(=O)OC(C1=CC=C(O1)[N+](=O)[O-])OC(=O)C,1.1
CCN(CC1=CC=CC=C1)C2=CC=CC=C2,4.6
C1=CC(=CC2=NC3=C(C=CC(=C3)N)C=C21)N,1.8
CCOC1=CC=CC=C1NCCC#N,2.8
C1=CC=C(C=C1)C2=CC=C(C=C2)Br,4.7
C1=CC=C(C=C1)C2=CC=C(C=C2)N,2.9
C1=CC=C(C=C1)C2=CC=C(C=C2)O,3.2
C1=CC=C2C=C(C(=CC2=C1)C(=O)O)O,2.9
C1=CC=C(C=C1)C2=CN=C(O2)C3=CC=CC=C3,4.7
C1C2=CC=CC=C2NC3=CC=CC=C31,3.5
C1C2=CC=CC=C2OC3=CC=CC=C31,3.5
C1=CC=C2C(=C1)NC3=CC=CC=C3S2,4.2
C1=CC=C2C(=C1)SC3=CC=CC=C3S2,4.6
C1=CC(=CC=C1C2=CC=C(C=C2)Br)Br,5.7
C1=CC(=CC=C1C2=CC=C(C=C2)N)N,1.3
C1=CC(=CC=C1C2=CC=C(C=C2)O)O,3.6
CC(=O)C1=CC=C(C=C1)C2=CC=CC=C2,3.7
C1=CC=C(C=C1)C2=CC=C(C=C2)[N+](=O)[O-],3.8
C1=CC=C(C=C1)C2=CC=C(C=C2)C3=CC=CC=C3,5.6
C1=CC2=C(C=CC(=C2)S(=O)(=O)O)C=C1N,-0.1
C1=CC2=C(C=CC(=C2)S(=O)(=O)O)C=C1O,0.3
COC1=C(C=C(C=C1)CO)OC,0.6
COC1=CC2=CC=CC=C2C=C1,3.5
CCN(CC)C1=CC=C(C=C1)N,2.2
COC1=C(C=C(C=C1)C(=O)O)OC,1.6
CC(=O)C1=CC2=CC=CC=C2C=C1,3.2
C1=CC=C2C=C(C=CC2=C1)C(=O)O,3.3
C1=CC=C2C(=C1)C=CC(=N2)C(=O)O,1.6
C1=CC=C2C=C(C=CC2=C1)S(=O)(=O)Cl,1.9
COC1=CC=CC=C1NCS(=O)(=O)O,1.2
COC1=C(C=C(C=C1)CC=C)OC,2.5
CC=CC1=CC(=C(C=C1)OC)OC,2.5
CCOC1=CC2=CC=CC=C2C=C1,3.8
CC(C)CC1=NC2=CC=CC=C2C=C1,3.8
C1=CC=C2C=C(C=CC2=C1)OCCO,2.8
CCCCCCCCCCCC[N+]1=CC2=CC=CC=C2C=C1,6.9
COC1=CC=CC=C1CC(=O)O,1.5
CC(=O)NC1=CC=CC=C1OC,1.1
CC(=O)OC1=C(C=C(C=C1)CC=C)OC,2.3
CC=CC1=CC(=C(C=C1)OC(=O)C)OC,2.4
CC1=CC2=C(C=C1)C=CC(=N2)C,3.0
COC1=C(C=C(C=C1)CC(=O)O)OC,1.0
CC(C(=O)OC1=CC2=CC=CC=C2C=C1)O,2.5
C1=CC=C2C=C(C=CC2=C1)NC3=CC=C(C=C3)O,4.2
C1=CC=C2C=C(C=CC2=C1)NC3=CC=C(C=C3)NC4=CC5=CC=CC=C5C=C4,7.5
COC1=C(C=CC(=C1)Cl)N,1.9
CC1=CC(=C(C=C1)O)OC,1.3
C1=CC=C(C=C1)C(CBr)Br,3.3
CC(C=O)C1=CC=CC=C1,1.9
CCC(C1=CC=CC=C1)O,1.9
CCC(=O)C1=CC=CC=C1,2.2
C1=CC=C(C=C1)C(CO)O,0.4
COC(=O)C1=CC=CC=C1,2.1
COC(=O)C1=CN=CC=C1,0.8
C(CO)N(CC(=O)O)CC(=O)O,-3.5
CC1=C(C=CC(=C1)Cl)OC(C)C(=O)O,3.1
CC1=CC=CC=C1NC(=O)CC(=O)C,1.3
CC1=CC=CC=C1N=C(N)N=C(N)N,0.3
CC(=O)CC(=O)NC1=CC=CC=C1Cl,1.7
C=CCN(CC=C)C(=O)CCl,1.6
CC(C(=O)O)OC1=CC(=C(C=C1Cl)Cl)Cl,3.8
C1=CC=C2C(=C1)N=C3C(=N2)SC(=S)S3,3.3
CC(C)OC(=O)COC1=CC(=C(C=C1Cl)Cl)Cl,4.4
CCCCOC(=O)COC1=CC(=C(C=C1Cl)Cl)Cl,4.9
C1=C(C(=CC(=C1Cl)Cl)Cl)OCCCC(=O)O,4.2
CCCCCCCCCCCCCCCCCC(=O)N(CCO)CCO,6.8
CCCCCCCCC=CCCCCCCCC(=O)N(CCO)CCO,5.8
CCOC(=O)C1=CC=CC=C1,2.6
CC(=O)CC(=O)C1=CC=CC=C1,1.6
C1=CC=C(C=C1)C(=O)OC(=O)C2=CC=CC=C2,3.2
C1=CC=C(C=C1)C(=O)NC2=CC=CC=C2,2.6
C1=CC=C(C=C1)C(=O)OC2=CC=CC=C2,3.6
CCOC(=O)CC(=O)C1=CC=CC=C1,1.9
CCCC(C)C1=CC=C(C=C1)O,3.6
CNCC(C1=CC=C(C=C1)O)O,-0.6
CC(C)OC(=O)COC1=C(C=C(C=C1)Cl)Cl,3.9
CCCOC(=O)C1=CC=C(C=C1)N,2.4
CCCOC(=O)C1=CC=C(C=C1)O,3.0
CC(C)COC(=O)C1=CC=C(C=C1)N,2.8
CCN(CC)CC(C)(C)COC(=O)C1=CC=C(C=C1)N,3.1
C1=CC(=CC=C1C(=O)OOC(=O)C2=CC=C(C=C2)Cl)Cl,4.8
C1=CC=C(C=C1)COC(=O)C2=CC=C(C=C2)O,3.6
CCC1=NN=C(S1)NS(=O)(=O)C2=CC=C(C=C2)N,1.0
CCCOC(=O)C1=CC=C(C=C1)[N+](=O)[O-],2.9
CCN(CC)CCOC(=O)C1=CC=C(C=C1)OCC,2.9
CCCCOC(=O)C1=CC=C(C=C1)O,3.6
CCCCC(CC)C(=O)OCCOCCOCCOC(=O)C(CC)CCCC,5.4
C1=CC=C(C=C1)C(COC(=O)N)O,0.4
C1=CC=C(C=C1)C(=O)OOC(=O)C2=CC=CC=C2,3.5
C1CCN(CC1)C(=S)SSC(=S)N2CCCCC2,3.4
C1=CC=C(C=C1)C=CC(=O)C2=CC=CC=C2,3.1
C1=CC=C(C=C1)COC(=O)C2=CN=CC=C2,2.4
CCOC1=CC2=C(C=C1)N=C(S2)N,2.8
CC(C)CCOC(=O)C1=CC=CC=C1,3.8
C1=CC=C(C=C1)CCOC(=O)C2=CC=CC=C2,4.0
C1=CC2=C(C=C1[N+](=O)[O-])NC=N2,1.6
C1OC2=C(O1)C=C(C=C2)C(=O)O,0.4
CCCC1=CC2=C(C=C1)OCO2,3.2
COC(=O)C1CCC(CC1)C(=O)OC,1.1
CCCC1CCCCC1=O,2.4
C1=CC=C(C(=C1)C=NO)O,1.5
CCNC1=CC=CC=C1C,2.5
CC1=CC=CC=C1NC=O,0.9
CCOC1=CC=CC=C1N,1.5
CC1=C(C=CC(=C1)Cl)OCC(=O)O,2.6
CC1=C(C=CC(=C1)Cl)SCC(=O)O,3.0
CCCCOC(=O)COC1=C(C=C(C=C1)Cl)Cl,4.4
CC1=C(C=CC(=C1)Cl)OCCCC(=O)O,3.6
C1=CC=C(C=C1)C(=O)OCCOC2=C(C=C(C=C2)Cl)Cl,4.7
C1=CC(=C(C=C1Cl)Cl)OCCOP(OCCOC2=C(C=C(C=C2)Cl)Cl)OCCOC3=C(C=C(C=C3)Cl)Cl,8.8
CC(CN=CC1=CC=CC=C1O)N=CC2=CC=CC=C2O,2.5
CCCC(C(CC)CO)O,1.3
C1=CC(=C(C=C1Cl)Cl)CCl,3.8
C1=CC(=C(C=C1O)O)C=O,1.5
CCC(=CC)C(=O)NC(=O)N,0.9
CCN(CC)C(=S)SC(=S)N(CC)CC,3.1
CCN(CC)C(=S)SCC(=C)Cl,3.1
CCC(CC)C(=O)OCCOCCOCCOC(=O)C(CC)CC,3.2
C1C2CC(C1C=C2)C#N,1.4
C1C=CC2=CC=CC=C21,2.9
C1=CC2=NNN=C2C=C1,1.0
C1=CC=C2C(=C1)C=CS2,3.1
C1=CC=C2C(=C1)N=CS2,2.0
CCCCCCCCCCCCCCCCCC1=NCCN1CCO,7.1
CC1=CC2=CC=CC=C2N1,2.5
CC1=NC2=CC=CC=C2O1,2.2
C1=CC2=C(C=C1Cl)SC(=N2)N,2.9
CC1=CC2=C(C=C1)SC(=N2)C,3.1
CC(C)N(C(C)C)SC1=NC2=CC=CC=C2S1,4.5
CCN(CC)C(=S)SC1=NC2=CC=CC=C2S1,4.2
CC(C)(C)NSC1=NC2=CC=CC=C2S1,3.4
C1COCCN1SSC2=NC3=CC=CC=C3S2,3.1
C1CCC(CC1)NSC2=NC3=CC=CC=C3S2,4.4
CCCCCCCCC=CCCCCCCCC1=NCCN1CCO,6.2
C=CC(=O)OCC1CC2CC1C=C2,2.4
CC(=C(C)N=O)NO,0.7
CC1=CC=CC=C1Br,3.5
CC1=CC=CC=C1C,3.1
CC1=CC=CC=C1Cl,3.4
C1=CC=C(C(=C1)Cl)Cl,3.4
C1=CC=C(C(=C1)N)Cl,1.9
CC1=CC=CC=C1F,2.9
CC1=CC=CC=C1N,1.3
C1=CC=C(C(=C1)N)N,0.1
C1=CC=C(C(=C1)O)Br,2.4
C1=CC=C(C(=C1)O)Cl,2.1
C1COC(C(O1)Cl)Cl,1.2
CC1=CC(=C(C=C1)C)C,3.0
CC1=C(C=C(C=C1)N)C,2.5
CC1=C(C=C(C=C1)O)C,2.2
CC1=CC(=C(C=C1)N)C,1.7
CC1=C(C=CC(=C1)Cl)N,1.9
CC1=C(C=CC(=C1)N)N,0.6
CC1=C(C=CC(=C1)O)O,1.0
CC1=C(C=C(C=C1)Cl)Cl,4.2
CC1=C(C=C(C=C1)N)Cl,2.9
CC1=CC(=C(C=C1)Cl)Cl,4.0
C1=CC(=C(C=C1N)Cl)Cl,2.7
C1=CC(=C(C=C1O)Cl)Cl,3.3
CC1=CC(=C(C=C1)C)N,1.8
CC1=C(C=C(C=C1)Cl)N,1.4
CC1=C(C=C(C=C1)N)N,0.1
C1=CC(=C(C=C1Cl)N)Cl,2.9
C1=CC(=C(C=C1Cl)N)N,1.3
CC1=CC(=C(C=C1)O)N,1.2
C1=CC(=C(C=C1Cl)N)O,1.8
C1=CC(=C(C=C1N)N)O,0.5
CC1=CC(=C(C=C1)C)O,2.3
CCOC(=O)C(=O)OCC,0.6
CC1=CC(=C(C=C1C)C)C,4.0
C1=C(C(=CC(=C1Cl)Cl)Cl)Cl,4.6
C1=C(C(=CC(=C1Cl)Cl)Cl)O,3.7
CC1C(=O)OC(C(=O)O1)C,0.6
C(C(=O)O)N=C(C(=NCC(=O)O)S)S,0.5
CC(=C)C(=O)OCC=C,1.7
CC1C(O1)C2CCC3(C(C2)O3)C,1.4
C1C(O1)C2=CC=CC=C2,1.6
C(C(CBr)Br)Br,2.6
C(C(CBr)Br)Cl,2.4
C(C(CBr)Br)O,1.1
CCC(C)CC,3.2
CCC(C)CN,1.0
CCC(C)C=O,1.1
C(C(CCl)Cl)Cl,1.8
C(C(=CCl)Cl)Cl,2.2
C(C(CBr)O)Br,1.1
CCC(=O)CC,0.9
C(C(CCl)O)Cl,0.8
C(C(CCl)O)O,-0.5
C(C(CS)O)O,-0.8
CCC(=NO)C,0.7
CNC(=O)NC,-0.5
COC(=O)C=C,0.8
COC(=O)CCl,0.7
CC1CCCC1,3.4
C1CC(C=C1)Cl,1.9
C1CCC(C1)O,0.8
C1=CSC(=C1)Cl,2.5
C1CN=C(N1)S,1.1
CC1CCCO1,1.0
C1CC(=O)OC1,-0.6
C1COC(=O)O1,0.3
CN1C=CC=C1,1.2
CC(C(C)(C)C)OP(=O)(C)F,2.1
CC1=CC(=CC(=C1O)C(C)(C)C)SC2=CC(=C(C(=C2)C)O)C(C)(C)C,7.4
C1=C(C=C(C(=O)C1=N)S(=O)(=O)O)N(O)O,-1.2
CC1=CC(=C(C=C1SC2=CC(=C(C=C2C)O)C(C)(C)C)C(C)(C)C)O,7.4
CCC1=CC(=C(C=C1)O)C(C)(C)C,4.0
C1=CC(=C(C=C1[N+](=O)[O-])S(=O)(=O)O)Cl,1.1
CC(C)(C)C1=CC(=C(C=C1)O)C(C)(C)C,4.9
CC(C)N(CCCl)C(C)C,2.5
CC(C)N(CCO)C(C)C,1.2
C([C@@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)O[C@H]([C@@H](CO)O)[C@@H]([C@H](C(=O)O)O)O)O)O)O)O,-5.0
CCC(CC1=C(C(=C(C=C1I)I)O)I)C(=O)O,4.2
C1=C(C=C(C(=O)C1=N)[N+](=O)[O-])N(O)O,-0.7
C1=C(C=C(C(=O)C1=N)N(O)O)S(=O)(=O)O,-1.2
C1=CC(=C(C=C1[N+](=O)[O-])C(=O)O)O,2.3
CC1=C(C=C(C=C1)C(=O)O)[N+](=O)[O-],1.9
C1=CC(=C(C=C1C(=O)O)[N+](=O)[O-])Cl,1.8
C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])N,1.0
C1=CC(=C(C=C1S(=O)(=O)O)C(=O)O)O,1.3
C1=CC(=C(C=C1S(=O)(=O)Cl)[N+](=O)[O-])Cl,2.3
C1=CC(=C(C=C1S(=O)(=O)N)[N+](=O)[O-])Cl,0.8
CC1=C(C(=O)CC1OC(=O)C2C(C2(C)C)C=C(C)C)C3CCC=C3,5.2
CC=CCC1=C([C@H](CC1=O)OC(=O)C2[C@H](C2(C)C)C=C(C)C)C,5.0
C1=CC=C(C=C1)S(=O)(=O)OC2=C(C=C(C=C2)Cl)Cl,4.3
CCOP(=S)(OCC)OC1=C(C=C(C=C1)Cl)Cl,5.1
C1=CC(=C(C=C1Cl)SC2=C(C=CC(=C2)Cl)O)O,4.5
C1=CC(=C(C=C1Cl)Cl)CN(CCO)C(=O)C(Cl)Cl,3.1
COC1=C(C=C(C=C1)C(=O)NC2=CC=CC=C2)[N+](=O)[O-],2.6
CCC(=O)C(=O)NC1=C(C=C(C=C1)C)C,1.8
CC1=CC=CC=C1NC(=NC2=CC=CC=C2C)N,3.1
CCOC(=O)C1C(C1(C)C)C=C(C)C,4.1
CC1=CCC(CC1OC(=O)C)C(=C)C,2.6
CCC(=O)OC1CC(CC=C1C)C(=C)C,3.1
COC1=C(C=CC(=C1)[N+](=O)[O-])N,1.5
CC=CC1=CC(=C(C=C1)O)OC,2.6
C([C@@H]1[C@H]([C@H]([C@H](O1)OP(=O)(O)OP(=O)(O)O)O)O)OP(=O)(O)O,-5.8
CC1=CC=CC=C1N=NC2=CC(=C(C=C2)N)C,3.7
CCCC(C)C(=O)O,1.8
CCOC(=O)C(C)C,1.5
CCOC(=O)C(=C)C,1.9
CCOC(=O)C(C)O,0.2
CC(C(=O)O)NC(=O)C,-0.9
CC(C)C(=O)OC(=O)C(C)C,2.0
CN(C)C(=S)SC(=S)N(C)C,1.7
CCCCCCCCCCCC(=O)N(C)CC(=O)O,4.5
CCCCCCCCC=CCCCCCCCC(=O)N(C)CCS(=O)(=O)O,6.1
CC(CCN(C)C)N(C)C,1.1
CC(C)COC(=O)C(C)C,2.5
CC(C)COC(=O)C(=C)C,2.7
CCCCOC(=O)C(C)C,2.4
CCCCOC(=O)C(=C)C,2.9
CC(=C)C(=O)OCCOC(=O)C(=C)C,1.9
CCC(CC)CO,1.6
CCC(CC)C=O,1.5
C1CC(OC1)CO,-0.1
C1=COC(=C1)CO,0.3
C1=COC(=C1)C=O,0.4
C1=COC(=C1)CS,1.3
C1=CSC(=C1)C=O,1.0
CC(C)(C)C1=CC=CC=C1,4.1
C1=CC=C(C=C1)C(Cl)(Cl)Cl,3.7
C1=CC=C(C=C1)C(F)(F)F,3.0
C1=CC=C(C=C1)S(=O)(=O)Cl,1.3
C1=CC=C(C=C1)S(=O)(=O)N,0.3
C1=CC=C(C=C1)S(=O)(=O)O,0.0
C1=CC(=CC(=C1)Cl)C(F)(F)F,3.9
C1=CC(=CC(=C1)N)C(F)(F)F,2.3
C1=CC(=CC(=C1)O)C(F)(F)F,3.0
C1=CC(=CC(=C1)S(=O)(=O)N)N,-0.4
CC1=CC(=CC(=C1)C(C)(C)C)C,4.3
CC1=C(C=CC(=C1)C(C)(C)C)O,3.6
CC(C)(C)C1=CC(=C(C=C1)O)Cl,3.9
CC(C)(C)C1=CC(=C(C=C1)O)O,2.7
CS(=O)(=O)C1=CC(=C(C=C1)O)N,0.4
C1=CC(=C(C=C1S(=O)(=O)Cl)Cl)Cl,3.4
CC1=C(C=CC(=C1)S(=O)(=O)O)N,0.0
C1=CC(=C(C=C1S(=O)(=O)O)N)O,-0.1
C1=CC(=CC(=C1)[N+](=O)[O-])C(F)(F)F,2.6
C1=CC(=CC(=C1)S(=O)(=O)O)[N+](=O)[O-],0.0
C1=CC(=CC(=C1)S(=O)(=O)O)S(=O)(=O)O,-0.2
CC1=CC=C(C=C1)C(C)(C)C,4.5
CC(C)(C)C1CCC(CC1)O,3.0
CC(C)(C)C1CCC(=O)CC1,2.6
CC(C)(C)C1=CC=C(C=C1)O,3.3
C1=CC(=CC=C1C(F)(F)F)Cl,3.8
CS(=O)(=O)C1=CC=C(C=C1)Cl,1.1
C1=CC(=CC=C1S(=O)(=O)Cl)Br,2.8
CC1=CC=C(C=C1)S(=O)(=O)Cl,3.0
C1=CC(=CC=C1S(=O)(=O)Cl)Cl,1.8
C1=CC(=CC=C1S(=O)(=O)Cl)I,3.0
C1=CC(=CC=C1S(=O)(=O)O)Cl,0.6
COC1=CC=C(C=C1)S(=O)(=O)Cl,1.5
CCC1=CC=C(C=C1)S(=O)(=O)O,1.5
CC(C)(C)C1=CC=C(C=C1)C(=O)O,3.9
C1=CC(=CC=C1[N+](=O)[O-])S(=O)(=O)Cl,2.1
C1CC(=O)N[C@@H]1C(=O)O,-0.8
CC(C)C1=CC=CC=C1,3.7
CC(=C)C1=CC=CC=C1,3.5
CC(C1=CC=CC=C1)N,1.2
CC(C1=CC=CC=C1)O,1.4
CC(=O)C1=CC=CC=C1,1.6
C1=CC=C(C=C1)C(Cl)Cl,3.0
C1=CC=C(C=C1)C(=O)Cl,2.9
C1CCC(CC1)C(=O)O,1.9
C1=CC=C(C=C1)C(=O)S,2.4
CN(C)C1CCCCC1,1.9
C1=CC=C(C=C1)[N+](=O)[O-],1.9
CC(=O)C1=CC(=CC=C1)N,1.2
CC1=CC(=CC=C1)C(=O)O,2.4
C1=CC(=CC(=C1)N)C(=O)O,0.1
C1=CC(=CC(=C1)O)C(=O)O,1.5
CN(C)C1=CC(=CC=C1)O,1.6
CC1=CC(=CC=C1)[N+](=O)[O-],2.4
C1=CC(=CC(=C1)[N+](=O)[O-])N,1.4
C1=C(C=C(C=C1O)O)C(=O)O,0.9
C1=C(C=C(NC1=O)O)C(=O)O,-0.7
CC1=CC(=CC(=C1)[N+](=O)[O-])C,2.5
C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O)O)O)O,-4.2
COC(=O)C1=CC(=C(C(=C1)O)O)O,0.9
C1=C(C=C(C(=C1Br)O)Br)[N+](=O)[O-],3.6
C1=C(C=C(C(=C1Cl)N)Cl)[N+](=O)[O-],2.9
C1=C(OC(=CC1=O)C(=O)O)C(=O)O,-0.4
C1=C(C=C(C=C1[N+](=O)[O-])[N+](=O)[O-])C(=O)Cl,2.5
C1=C(C=C(C=C1[N+](=O)[O-])[N+](=O)[O-])C(=O)O,1.5
C1=C(C=C(C=C1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],1.2
CC1=CC(=CC=C1)C(=O)OC,2.8
CNCC(=O)C1=CC(=C(C=C1)O)O,0.5
C1=CC(=CC(=C1)[N+](=O)[O-])C(=O)CCl,2.0
CC1=CCC(CC1O)C(=C)C,2.1
CC1=CCC(CC1=O)C(=C)C,2.4
CC1=C(C=C(C=C1)[N+](=O)[O-])C,2.9
CC1=C(C=CC(=C1)[N+](=O)[O-])N,1.1
CC1=C(C=CC(=C1)[N+](=O)[O-])O,1.2
C1=CC(=C(C=C1[N+](=O)[O-])Cl)Cl,3.1
CC1=C(C=C(C=C1)[N+](=O)[O-])N,1.9
C1=CC(=N)C(=N)C=C1N(O)O,-0.6
C1=CC(=O)C(=N)C=C1N(O)O,-0.7
COC1=C(C=C(C=C1)[N+](=O)[O-])N,1.5
C1=CC(=C(C=C1[N+](=O)[O-])Cl)C(=O)O,2.0
C1=CC(=CC(=C1)[N+](=O)[O-])C=O,1.5
CC(C)C1=CC(=CC=C1)C(C)C,4.8
C1=CC(=CC(=C1)C(=O)Cl)C(=O)Cl,3.6
C1=CC(=CC(=C1)[N+](=O)[O-])[N+](=O)[O-],1.5
CCC(C)C1=CC=C(C=C1)O,3.1
C1=CC(=CC=C1C(=O)CBr)Br,3.2
CC1=CC=C(C=C1)C(=O)OC,2.7
COC(=O)C1=CC=C(C=C1)O,2.0
CCOC(=O)C1=CC=C(C=C1)[N+](=O)[O-],2.3
CCOC(=O)CCCCCCCCC(C)C1=CC=C(C=C1)I,7.0
CC1CCC(CC1)C(C)C,4.5
CC1=CCC(C=C1)C(C)C,3.2
CC1=CCC(=CC1)C(C)C,2.8
CC1=CC=C(CC1)C(C)C,2.8
CC1=CC=C(C=C1)C(C)C,4.1
CC(C)C1=CC=C(C=C1)N,2.2
CC(C)C1=CC=C(C=C1)O,2.9
CC(=O)C1=CC=C(C=C1)Br,2.4
CC(=O)C1=CC=C(C=C1)Cl,2.3
CC(=O)C1=CC=C(C=C1)N,0.8
CC(=O)C1=CC=C(C=C1)O,1.4
CC1=CC=C(C=C1)C(=O)O,2.3
CC1=CC=C(C=C1)N(C)C,2.8
CN(C)C1=CC=C(C=C1)N,1.8
CC1=CC=C(C=C1)[N+](=O)[O-],2.4
C1=CC(=CC=C1[N+](=O)[O-])Cl,2.4
C1=CC(=CC=C1N)[N+](=O)[O-],1.4
CC(=O)C1=CC=C(C=C1)OC,1.7
